layer,order_status,category,item,manufacturer_part_or_spec,qty,preferred_channel,planned_usd_before_tax_shipping,reason_or_check
A,BUY_NOW,IC,Quad op amp,MCP6004-I/P PDIP-14,3,DigiKey or Mouser,1.77,"two working plus one spare"
A,BUY_NOW,IC,Quad comparator,MCP6544-I/P PDIP-14 push-pull,2,Mouser or DigiKey,2.86,"verify push-pull output before checkout"
A,BUY_NOW,Socket,DIP socket,14-pin 0.3-inch,5,DigiKey or Mouser,2.75,"protect IC leads and simplify replacement"
A,BUY_NOW,Manual control,Linear potentiometer,Adafruit 356 10-kohm linear,4,Adafruit,5.00,"linear taper only"
A,BUY_NOW,Manual configuration,DIP switch,DS01C-254-S-04BE 4-position THT,3,DigiKey,2.22,"small-signal configuration only; not a power switch"
A,BUY_NOW,Resistor,Precision resistor values,"1% metal-film THT 100R;330R;1k;2.2k;4.7k;10k;16.0k;22k;40.2k;47k;90.9k;100k;1M; ten each",1,DigiKey or Mouser,14.00,"measure critical values before calculations"
A,BUY_NOW,Input protection,Schottky diode,BAT41-TAP DO-35,10,DigiKey,3.20,"candidate signal clamp; verify measured behavior"
A,BUY_NOW,Diode,Switching diode,1N4148 THT,20,DigiKey or Mouser,1.10,"general switching and experiments"
A,BUY_NOW,Capacitor,Decoupling capacitor,100nF X7R THT,20,DigiKey or Mouser,3.00,"place close to every IC supply pair"
A,BUY_NOW,Capacitor,General capacitor kit,SparkFun 13698 or equivalent THT kit,1,DigiKey,11.50,"general values; not precision guaranteed"
A,BUY_NOW,Capacitor,Precision filter capacitors,"10nF;100nF;1uF at 5% or better; five each",1,DigiKey or Mouser,10.00,"selectable RC filter values"
A,BUY_NOW,Capacitor,Bulk electrolytics,"10uF x10;100uF x5; rated >=10V",1,DigiKey or Mouser,5.00,"observe polarity"
A,BUY_NOW,Indicator,LEDs,"red x5; green x5",10,DigiKey or Adafruit,2.00,"always use a series resistor"
A,BUY_NOW,Configuration,Headers and shunts,"2.54mm breakaway male headers x2; shunts x10",1,DigiKey or Adafruit,5.00,"future removable configuration and permanent board"
A,BUY_NOW,Power regulator,3.3V LDO,MCP1702-3302E/TO TO-92,3,DigiKey,1.95,"independent rail; measure output; not a precision reference"
A,BUY_NOW,Power protection,Reverse-polarity Schottky,"active THT 1N5817 or 1N5818 or 1N5819",5-10,DigiKey or Mouser,1.90,"choose an in-stock active equivalent at checkout"
A,BUY_NOW,Power protection,Resettable fuse,Bourns MF-R025 250mA hold 500mA trip THT,5,DigiKey,2.95,"additional breadboard fault protection; not instantaneous"
A,BUY_NOW,Power supply,5V 2A UL-listed adapter,Adafruit 276,1,Adafruit or Newark,7.95,"dedicated AFE input supply; never feed 5V to 3.3V signals"
A,BUY_NOW,Power connector,Breadboard barrel jack,Adafruit 373 2.1mm,1,Adafruit,0.95,"verify center positive and switched pin"
A,BUY_NOW,Prototype,Full-size breadboard,Adafruit 239,1,Adafruit,5.95,"dedicated to AFE base unit"
A,BUY_NOW,Wiring,Male-male jumper set,Adafruit 1957,1,Adafruit,1.95,"dedicated basic breadboard wiring"
B,BUY_NOW,ADC,16-bit ADC breakout,Adafruit ADS1115 1085,1,Adafruit,14.95,"automation add-on; not required for analog operation"
B,BUY_NOW,Cable,QT-to-male-header cable,Adafruit 4209,1,Adafruit,0.95,"dedicated ADS1115 cable"
B,BUY_NOW,Fault injection,NPN transistor,2N3904 THT,10,DigiKey or Mouser,1.50,"low-voltage switching and fault injection"
B,BUY_NOW,Fault injection,N-channel MOSFET,2N7000 THT,5,DigiKey or Mouser,3.00,"low current only; not for fan power"
C,CONFIRM_TOOLCHAIN,Reference controller,STM32 Nucleo board,NUCLEO-G474RE,1,DigiKey or ST authorized distributor,20.13,"replaceable automation controller; not product identity"
C,CONFIRM_TOOLCHAIN,Cable,USB-A to Micro-B data cable,Adafruit 592 or equivalent,1,Adafruit or trusted retailer,2.95,"must carry data; PC side USB-A"
SHARED,EXTERNAL_BUDGET,Instrument,Digital multimeter,Klein Tools MM420,1,Klein authorized retailer,TBD,"outside AFE USD 200 budget"
SHARED,BUY_WITH_OTHER_PROJECT,Lab consumables,"22AWG wire; stripper; alligator leads; heat shrink",1,existing other-project cart,TBD,"shared tools; AFE base does not depend on permanent allocation"
LATER,HOLD,Instrument,USB lab instrument,EspoTek Labrador,1,EspoTek,29.00,"only after Windows compatibility and OSU access decision"
LATER,HOLD,Stimulus,DDS generator,AD9833 module with verified 3.3V interface,1,authorized or documented vendor,TBD,"freeze amplitude offset and frequency requirements first"
LATER,HOLD,Prototype,Permanent protoboard,Adafruit 1606,1,Adafruit,10.95,"buy after breadboard design passes"
LATER,HOLD,Manufacturing,"custom PCB; terminals; enclosure; soldering system",Phase 6 outputs,1,TBD,TBD,"buy only after interface and schematic freeze"

