priority,status,category,item,manufacturer_part_or_spec,qty,preferred_channel,estimated_usd_before_tax_shipping,decision_note
NOW,TO_BUY,IC,Quad op amp,MCP6004-I/P PDIP-14,3,DigiKey or Mouser,1.77,"two required plus one spare"
NOW,TO_BUY,IC,Quad comparator,MCP6544-I/P PDIP-14 push-pull,2,Mouser or DigiKey,2.86,"one required plus one spare; verify push-pull"
NOW,TO_BUY,Socket,DIP socket,14-pin 0.3-inch,5,DigiKey or Mouser,2.75,"protect IC legs and simplify replacement"
NOW,TO_BUY,Control,Linear potentiometer,Adafruit 356 10-kohm linear,4,Adafruit,5.00,"three working plus one spare"
NOW,TO_BUY,ADC,16-bit ADC breakout,Adafruit ADS1115 1085,1,Adafruit,14.95,"Phase 4; reuses existing QT cable"
NOW,TO_BUY,Resistor,Precision resistor values,"1% metal-film THT 100R;330R;1k;2.2k;4.7k;10k;16.0k;22k;40.2k;47k;90.9k;100k;1M, ten each",1,DigiKey or Mouser,14.00,"individual values avoid unsuitable expensive assortment"
NOW,TO_BUY,Protection,Schottky diode,BAT41-TAP DO-35,10,DigiKey,3.20,"active low-capacitance THT candidate; verify before final design"
NOW,TO_BUY,Diode,Switching diode,1N4148 THT,20,DigiKey or Mouser,1.10,"general experiments"
NOW,TO_BUY,Capacitor,Decoupling capacitor,100nF X7R THT,20,DigiKey or Mouser,3.00,"one close to every IC supply pair"
NOW,TO_BUY,Capacitor,General capacitor kit,SparkFun 13698 or equivalent THT kit,1,DigiKey,11.50,"general experiments; not a precision guarantee"
NOW,TO_BUY,Capacitor,Precision filter capacitors,"10nF;100nF;1uF at 5% or better, five each",1,DigiKey or Mouser,10.00,"buy separately if kit tolerance is unknown"
NOW,TO_BUY,Capacitor,Bulk electrolytics,"10uF x10;100uF x5; >=10V",1,DigiKey or Mouser,5.00,"power buffering; observe polarity"
NOW,TO_BUY,Indicator,LEDs,"red x5; green x5",10,Adafruit or DigiKey,2.00,"use series resistor"
NOW,TO_BUY,Transistor,NPN transistor,2N3904 THT,10,DigiKey or Mouser,1.50,"Phase 5 and general lab spare"
NOW,TO_BUY,Transistor,N-channel MOSFET,2N7000 THT,5,DigiKey or Mouser,3.00,"low-current only; not for fan power"
NOW,TO_BUY,Configuration,Header and shunts,"2.54mm breakaway male header x2; shunts x10",1,Adafruit or DigiKey,5.00,"select gains and filters"
REUSE,VERIFY_ON_HAND,Prototype,Full-size breadboard,Adafruit 239,1,existing screenshot cart,0,"reserve one of two for AFE"
REUSE,VERIFY_ON_HAND,Wiring,Male-male jumpers,Adafruit 1957,1,existing screenshot cart,0,"core breadboard wiring"
REUSE,VERIFY_ON_HAND,Wiring,22AWG solid-core wire kit,Adafruit 3174,1,existing screenshot cart,0,"two-project shared tool"
REUSE,VERIFY_ON_HAND,Test lead,Alligator clip leads,Adafruit 4100,1,existing screenshot cart,0,"insulate clips against accidental shorts"
REUSE,VERIFY_ON_HAND,Cable,QT-to-male-header cable,Adafruit 4209,1,existing screenshot cart,0,"reserve one for ADS1115"
REUSE,VERIFY_ON_HAND,Sensor,Analog thermistor,Adafruit 372 10-kohm 3950 NTC,1,existing screenshot cart,0,"later analog sensor example"
CONFIRM,PROPOSED,Validation controller,STM32 Nucleo board,NUCLEO-G474RE,1,DigiKey or authorized ST distributor,20.13,"recommended independent validation controller; confirm STM32Cube toolchain before purchase"
EXTERNAL,PLANNED,Instrument,Digital multimeter,Klein Tools MM420,1,"Lowe's; Home Depot; Klein authorized retailer",64.98,"paid outside AFE USD 200 budget; includes leads batteries thermocouple; not calibration-grade"
CONFIRM,HOLD,Instrument,USB lab instrument,EspoTek Labrador,1,EspoTek,29.00,"confirm Windows 11 compatibility and OSU access first"
LATER,HOLD,Stimulus,DDS generator,AD9833 module with verified 3.3V interface,1,authorized or documented module vendor,TBD,"choose only after amplitude and offset requirements freeze"
LATER,HOLD,Prototype,Permanent protoboard,Adafruit 1606,1,Adafruit,10.95,"breadboard design must pass first"
LATER,HOLD,PCB,Custom PCB and enclosure,Phase 6 design outputs,1,TBD,40-80,"purchase only after ERC DRC and interface freeze"
